name,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07
mike pence,4894,2051,7482,2152,2246,1429,4802,3584,7855,2445,4852,2061,1269,1970,1245,3236,186,504,993,45,213,123,24,57,213,18,36,18,33,97,36,30,36,90,93,141,98,57,9,3,9,177,66,621,39,174,450,0,84,1077,36,2045,270,18,414,27,258,78,1526,156,304,1778,12894,3660,955,730,24,172,18,12,938,24,0,18,75,3638,1271,48,41743,24522,35295,104365,27363,18327,30599,43019,48663,32393,19003,9689,20706,15607,7463,8620,7720,22902,51567,14648,12538,9446,19236,7216,12196,9182,8721,5354,2941,6112,24905,41243,7661,5168,7096,7469,8954,4084,8398,21466,5729,5021,9967,44648,182144,66089,9080,20110,13825
mitt romney,4476,1010,10608,2432,45,237,327,764,1155,177,1053,1021,1644,3537,1906,5112,7509,21827,4777,18234,33786,41264,27650,73720,149197,92326,71098,79929,69668,51517,95179,107369,118169,248709,72581,4956,2679,1854,14317,428,716,3875,487,1547,896,1793,5593,573,5048,5440,3792,824,3444,4126,2296,1956,3912,3558,3388,997,16135,1199,1543,3426,694,3170,2885,379,979,2216,391,444,292,2327,17420,368,2460,4416,791,1303,1349,1689,14852,3264,36,153,93,182,69,180,12,586,99,138,126,583,2897,1178,129,1500,554,1226,549,60,141,207,165,228,10046,72,1340,1568,2302,764,272,85,1167,5917,913,945,4073,14327,695,170,76,420,258
nancy pelosi,28145,6106,19698,893,941,557,2542,1780,2293,4793,8104,3264,9028,573,656,735,665,5733,3363,2574,2713,1764,1830,4926,4224,3840,1395,1248,1054,5611,4161,624,4932,819,7954,6472,4277,3129,2386,531,3345,2796,2878,992,7148,7960,6165,3040,1458,1690,1688,1794,6948,1179,3749,468,1321,513,3558,1897,1525,1637,1016,266,1961,911,466,93,1218,1283,320,218,1335,84,93,234,421,2690,1668,353,1212,1997,5476,3216,7950,6892,9229,5742,9514,11646,3295,1732,8010,7789,9164,5049,10206,10663,2736,1743,6709,3658,2284,5148,1952,4815,27177,16648,76431,48469,19354,16785,49027,29539,33419,4434,34159,40501,22729,84558,41303,34473,28143,26578,21259,14457,24300
neil cavuto,35908,22261,43450,34417,19807,13511,27211,38314,29232,30801,27915,18410,35575,18098,34144,27894,27272,30413,21889,40102,32065,24941,26817,25500,31491,23369,26297,20184,18792,27876,27289,20221,28897,26964,22988,17805,19900,19685,26693,23037,25702,26082,12929,26768,26577,21574,25263,14402,26182,21388,27329,20692,23769,24101,19522,12755,20547,17314,22991,21214,21962,18497,25343,16257,19608,23873,20895,13727,20769,27042,24368,26046,32976,22203,20551,24698,20495,70,188,75,25346,35369,24327,21846,23990,26320,22387,27124,25250,22246,23113,13292,21834,20495,21327,21049,23785,28757,15374,24831,30515,30165,25770,19515,21070,22738,19574,16220,30751,19214,20405,17174,27411,26833,24785,20345,25542,24543,20612,17506,21631,26454,19615,32476,31233,27322,25728
new_mitt_romney,4429,1112,10758,2631,139,362,532,833,1497,423,1677,1452,2446,4170,2417,7141,10873,27240,6169,21641,36430,46370,30801,83679,165255,103096,90913,88575,81041,61990,108909,137865,136237,262578,80577,6616,3569,2346,16037,1313,1136,4685,1328,2231,1238,2691,6739,971,7259,6292,4168,1706,4020,4796,2757,3498,5156,4405,4624,1505,21475,1869,2215,4249,3952,5926,4226,1383,1706,3255,1309,719,645,4003,27730,745,4638,5911,1070,1224,1335,2599,20105,5621,610,488,376,622,391,493,150,907,204,264,404,1137,4048,1883,362,1747,923,2417,825,372,255,834,765,2313,9814,285,2146,2246,2556,1118,516,0,0,0,0,0,0,0,0,0,0,0,0
newt gingrich,9880,7370,2095,7854,3385,2122,10353,8312,13335,7250,12198,5342,3255,4297,17537,2100,31694,26533,2936,12124,14586,15052,59066,114631,198827,60937,66176,12192,21087,3448,1233,14887,10138,14668,8814,9648,9953,3307,7578,1600,5054,8072,3103,5157,14850,17152,9908,4577,6483,3401,2341,934,5065,3636,2722,1899,2964,1364,2982,1593,191,42,568,179,340,857,221,2438,4591,7190,2925,7062,6481,6820,13506,10385,18725,14477,22305,12634,13654,21461,16176,16402,12698,2082,18302,8889,15331,12750,9999,8652,8706,10705,4035,6219,7772,4260,2114,5442,3732,5828,5349,3193,3694,10161,4926,3309,5749,2332,4907,5249,4775,2826,4138,1837,4345,6592,3474,3511,3104,4603,4450,2158,1860,2235,2600
nicolle wallace,1323,920,1008,51,6,21,798,768,858,3817,6891,2422,279,60,24,99,289,975,3030,2151,2142,1560,69,111,120,65,1908,120,147,5686,54,63,36,84,117,105,105,286,5479,132,192,1215,3760,3442,3773,2562,3712,1800,3288,3788,1155,2722,2476,1199,2452,1431,408,1506,2375,856,726,841,807,830,1642,970,1377,1656,4097,4141,2374,5136,3976,6342,7783,6274,6846,6394,9624,2380,8397,9386,6450,3253,9798,3504,2351,7417,18734,26185,12601,16091,14284,16399,17128,14342,27401,20037,16823,28286,22267,15322,15577,23920,14933,16004,16513,12061,19148,19105,18192,25340,22666,20013,15926,12246,18422,19492,19108,15126,16029,16923,16703,34452,26408,22705,30735
old_mitt_romney,4170,1145,10057,2589,436,523,1073,909,1771,458,1753,1382,1787,3473,1639,5358,6621,17734,4801,13624,22353,29255,20872,58596,91948,51381,48049,45899,47900,36057,72016,78804,88600,188444,49162,4117,2388,1758,14130,1335,1747,4039,733,1477,1253,2062,5581,901,6047,5824,3756,1087,4093,4640,1940,3001,4763,3086,4312,1343,14959,1975,2921,4454,1386,4060,863,566,1267,3688,1067,747,525,3060,23714,1110,3843,4784,3963,8103,6311,20965,20553,8495,4083,9759,17678,6873,2491,2513,2767,2313,1056,1244,1406,2741,9341,3414,3215,2346,4517,2639,1744,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paul ryan,971,3839,6760,2611,381,237,2249,693,2845,585,3515,1611,10994,6026,2534,22655,13381,4687,4898,5475,4746,4488,2291,1397,1955,6115,13290,11437,6538,4117,2415,96393,24679,76692,6104,2686,8305,1665,19914,3042,4677,4697,1005,1743,432,3779,994,17807,3467,1813,8043,6829,1227,2617,4989,4776,796,1674,561,459,2393,2098,559,1118,1405,3804,51,33,471,26035,10469,4366,15359,2223,6304,10614,38662,21144,14666,11320,2840,9701,10619,9310,44462,21334,81062,10827,24558,12162,6399,23739,11628,10611,18665,19725,39382,15932,6420,13774,4193,7345,4731,2131,1096,1765,2194,3743,1014,1671,619,47,31,125,1634,70,81,74,39,86,26,55,26,11,63,36,101
piers morgan,0,30,0,21,9,18,24,9,222,33,110,1492,27843,39019,34332,33163,36560,32758,44732,51066,37300,37394,43553,56954,49855,60587,54460,49851,41222,37833,48058,49674,33427,42174,49865,52247,65345,28892,18295,31196,32147,28077,28788,36650,25017,36337,19191,18220,23830,21687,16060,51,45,3,27,3,66,837,3,230,48,1314,27,27,173,111,66,54,24,117,15,99,84,732,778,365,314,51,30,106,9,54,24,120,15,2528,9,1443,0,38,6,12,6,12,42,9,51,1590,9,1143,3,12,1217,0,3,6,1266,38,42,1488,3,2241,19,595,49,56,41,671,7,81,33,1457,571,1479,3,1,9
poppy harlow,741,1512,1323,496,208,263,1623,1662,1019,805,1749,780,522,327,546,555,183,1500,1720,3846,882,632,1220,821,1044,526,482,716,2055,2638,12977,3771,1990,360,1250,2898,1081,234,2901,5170,5631,1203,6330,917,534,3401,1241,2169,898,1563,1842,3844,3074,4460,5763,5886,3529,7226,9413,8426,10174,7119,7471,9735,16225,13459,7005,14808,4282,9481,7610,9783,9558,8694,8129,3129,3,167,9217,16610,18244,23235,15639,16539,12954,10339,8240,4669,2547,6301,8613,7335,7305,5146,4519,16079,9043,259,3,1141,13223,20832,22208,36584,8039,14451,8115,6260,26863,13646,16742,18701,10674,10689,15622,7822,16966,15862,11634,9425,13044,7582,6091,28351,19708,23962,12634
rachel maddow,46712,45562,48931,47650,19801,30017,29077,44277,44608,30091,25938,23797,24456,33365,39780,36273,30468,41931,21541,34306,33204,31132,28768,35978,48865,34290,47065,45599,38574,29479,21770,46118,37742,39101,37426,20529,32180,29413,30554,33899,30849,30562,20417,28950,30101,38652,29209,23771,36787,31780,31531,33414,36522,34560,25649,24077,40495,43792,31643,26361,25992,33805,31997,28732,27612,32751,37871,25716,30704,37612,34001,30366,39528,43116,39548,41785,38412,33705,18784,32941,33138,36818,43591,35319,43948,51203,66395,54222,43804,41299,45195,31223,33189,42478,31596,39984,52038,53222,41480,44868,47231,45015,41043,42840,50547,43628,42852,41202,53829,49994,65748,55447,50550,46332,40711,47659,45195,60772,55320,47116,59225,41793,44182,56779,47608,38634,40005
rick santorum,3896,2816,5145,2984,1281,54,1380,4287,3609,4050,3040,4139,3457,2431,3596,4779,8037,15264,3626,14965,17468,15416,8747,29560,131146,121629,91956,37196,2223,3154,882,8855,1531,2819,4839,1545,1429,964,2094,1575,1325,5900,7900,4577,2599,1539,3386,3053,1493,874,3413,1255,2601,1164,730,816,1233,281,915,539,3325,2344,1276,2069,13384,8206,15132,7940,7060,3347,3747,5489,7290,3398,296,376,197,441,923,640,661,111,879,4809,4097,7590,7554,3390,3904,4794,5632,4962,8243,3675,2995,6201,10085,1542,5928,4795,3450,7320,7688,7527,5502,9922,11807,9042,9323,9384,8250,3405,7795,3631,2081,7259,3232,2893,7830,5918,7712,4533,1063,457,595,107,965
sanjay gupta,18454,21194,10539,22298,4991,2366,14089,17991,6843,8696,14610,25381,18532,6267,9460,3541,8334,6672,13458,4634,12177,9374,9178,18032,6957,7627,8570,5866,4904,12091,9215,5710,5869,9527,5586,11846,14806,4778,5146,4609,4443,7619,3775,18130,7330,11829,6451,6950,5675,7385,3653,6135,3427,5177,4621,14769,6359,32710,2095,3406,1517,4294,3771,5721,1519,1070,537,1094,1611,1728,373,2745,3122,1170,642,1481,1848,1061,836,4495,8878,266,509,860,1755,542,1137,1423,2022,2637,2497,293,1461,1730,138,2333,5193,69,582,5479,4999,1168,2882,2504,429,630,1125,1776,901,4042,2378,10279,3752,978,1423,3062,4034,2734,3482,1523,3398,14606,115306,161609,122314,47434,68640
sean hannity,30994,28463,31211,34471,17352,17269,32015,22508,28132,29138,21060,16070,29470,26574,27509,27185,26096,29146,33925,36746,30090,26896,25914,18968,32150,24581,33543,30093,32473,33756,24791,31880,37379,36840,31636,35322,40193,30206,34023,31881,29832,28023,35270,26040,24676,32205,28922,22797,27904,27616,29884,34869,30572,24385,24394,22878,28484,32619,24216,26132,33696,25490,32903,25914,20707,20861,25952,23968,26925,29100,23763,26187,28694,26081,28434,26929,30662,39943,22583,35964,31953,31286,29363,27066,38899,32947,46890,32086,37962,53300,37988,44998,44214,69115,50018,28243,58425,56977,58969,61065,56393,47386,47776,45490,50517,65537,51232,26736,61773,55071,72501,56300,58824,45690,54038,45323,55088,52896,43782,47356,61964,47886,45076,64714,61987,48916,54427
shannon bream,10814,4325,4549,8907,4231,9586,9400,13746,7402,6322,11364,4524,9173,5514,4897,9033,5358,7619,5841,9748,4636,6067,10361,7804,4809,3991,7665,4923,8342,7089,6305,10516,5026,4826,7106,4156,5596,6481,6950,2033,7251,7976,13861,16955,8136,2299,3712,9636,3516,9242,5352,5637,8389,8953,6471,16400,6270,12004,7784,11600,7862,14862,7352,4738,6128,5953,8931,17170,9336,4888,2387,13765,4297,8795,8161,3749,4160,6579,10413,11841,17753,8004,6428,17916,9047,11080,25881,10111,11456,12687,7268,12493,7177,7434,25677,34858,37649,32061,31053,31525,31170,40386,26901,34158,30377,36882,31663,37323,32690,26073,47472,47717,47522,43460,26659,53240,29126,45721,43246,30163,40837,33644,46265,52856,42108,39727,47315
shepard smith,19882,18788,21222,21138,9452,8201,17073,18239,18477,16156,17227,15341,24725,16879,28809,16464,12477,16250,13044,19576,13689,13468,11816,8762,17320,15362,17094,15689,12137,13745,11445,11070,14333,13925,12369,7996,10060,13476,18309,21615,17762,17138,18226,15607,9757,11705,7577,8707,10463,9759,18685,9946,7308,7160,8117,11676,14030,10354,9012,8163,9859,17245,11637,10383,5361,4881,7821,7362,7603,11432,13297,9125,8340,8862,12427,11219,6676,4529,11639,6153,7778,8190,8118,6237,8025,7833,13314,10944,8338,6799,8160,6940,5932,8269,8396,4583,6708,8452,5552,7598,6454,4741,6159,8494,3945,9230,6631,6211,8200,5264,4928,7241,5030,6205,7252,7737,8952,5347,107,181,77,22,2,0,106,2,2
steve doocy,17163,16071,17351,12664,6989,7165,19787,16689,13924,17174,11147,17566,17606,15023,16895,13150,18981,17393,15796,16185,10049,11873,7494,15514,14725,15007,13468,20889,16801,14582,12299,18649,17373,16540,22781,17377,22291,14500,19186,18407,18840,17669,15774,14331,17674,25536,19342,15661,20989,12795,13995,23702,24361,18796,21306,11857,18675,22355,15400,18745,16678,14097,11398,12643,9357,15673,13501,11117,9981,15504,15828,10870,14297,18072,13355,11195,13584,11940,7545,13951,13279,17916,13194,12269,15786,15102,17095,12183,13160,13580,15283,14679,12216,18856,17343,17751,35169,13420,192,1326,675,204,240,159,84,501,699,141,487,1168,1855,1626,167,249,175,73,60,455,475,109,284,60,747,5545,4363,389,973
steve kornacki,909,465,900,564,171,474,0,477,2247,2164,1344,4398,1341,1263,396,1902,1823,1770,884,1239,771,3258,1358,3831,5161,6023,4554,6865,5976,8507,10931,8765,11347,16116,9213,11977,12189,10149,6465,8550,15251,20417,15046,18444,17453,19777,20264,12529,32525,18315,17390,22104,17361,18081,18144,22229,12091,15988,16146,9300,14528,13419,13978,13569,13253,12827,14645,10039,9971,20138,16472,18435,17689,25672,23616,29473,26498,17346,15186,26679,23202,14418,21458,13505,11251,14507,12989,9743,10898,7488,5940,10758,9148,2974,7369,11882,7154,2271,13037,7843,13680,20274,12457,20571,7319,19988,16150,12746,9698,11252,2851,12591,16886,22550,18064,18551,16871,10992,12973,8510,10310,19427,18108,7721,11823,13133,12144
ted cruz,0,0,0,0,0,0,9,0,0,0,0,0,3,0,3,3,0,0,231,0,3,3,225,6,0,0,3,48,646,419,664,3731,375,384,1311,63,5955,3560,9198,2000,4253,4979,2995,12638,51329,43633,8893,5836,6718,7509,6278,6201,2835,6183,8500,936,3775,6561,6193,6900,5076,6868,23411,8065,6904,9352,17849,16008,22864,14475,23779,59523,90203,110059,137634,129115,33962,1382,11900,746,2527,671,3046,424,6658,10520,3230,3549,1640,6163,4745,1952,1522,43204,3425,1462,783,1308,2772,1549,1711,2181,491,974,10863,6709,3378,1000,3281,1021,1449,795,1704,699,679,452,464,190,122,2830,3105,66,676,2266,1910,1015,1040
tucker carlson,2237,5807,2070,3611,2484,1029,3440,699,2391,1479,2588,5512,1557,1894,1950,1887,3537,1491,1536,3347,3504,1802,1325,3079,2477,4971,2142,4815,4031,1937,2205,1902,6968,5154,3893,1803,14963,12014,14350,12271,12605,13494,10047,15372,13785,8560,15725,15861,14439,14781,9349,12702,15081,15320,8473,11812,12133,9808,13930,11394,10629,11523,11178,10520,8095,8407,9554,10995,9926,10849,10694,11826,16240,16401,12955,14766,14942,15632,12390,9807,16262,22385,34882,48989,63458,63162,78845,82102,81489,88559,91644,80912,80652,84877,55221,46654,77586,72939,77872,66430,80200,85004,72403,74082,77244,87798,67542,62030,102970,70779,93013,77365,82217,82996,89567,57266,76710,75848,69583,60336,76129,72438,61413,97321,90574,80293,81133
willie geist,14305,10802,11072,15653,7786,5292,11329,10433,15011,15274,15445,13915,15260,12608,15631,11962,16425,17971,9339,15245,14302,16084,17224,11165,17476,12667,18099,12542,16539,12542,6373,10207,12181,11972,6195,4619,3966,5620,5397,5945,4084,5348,4746,5247,5931,8807,6011,5030,6155,2653,5894,6918,8214,4549,6693,2988,8525,7216,6748,5008,8031,3912,4990,4857,5184,6071,6518,5608,8031,7741,7652,9206,10178,11162,10366,8162,8252,9069,9727,11967,8395,14017,9028,8486,8127,9757,10301,9511,14243,11107,5109,15834,11417,11526,12186,14728,10136,4733,12281,16580,17222,9121,13424,11909,14719,15933,19030,8780,14583,11119,10669,12805,17882,12321,12771,13866,12752,19144,15226,11003,17546,14885,18685,28095,25574,19771,21349
wolf blitzer,26824,21589,23243,7535,9504,6735,7632,13805,11965,19557,16282,15527,25321,15617,26923,15402,22212,24174,19890,33826,26222,31704,30475,32590,34017,19684,26800,28245,25455,22551,33605,35853,34915,29409,44182,27440,29651,22116,10440,34466,28325,15471,38277,33479,38585,38965,25749,23998,36108,26036,34251,28801,30875,27671,50633,37331,31891,31364,24077,33990,25562,24803,32213,25255,21368,22817,20011,10853,17834,22382,23885,19684,31170,23582,26449,23235,23062,25484,23850,13169,24709,20568,20449,11804,17672,26166,31351,29238,34672,28653,13381,28327,17870,32088,21146,23555,33358,31858,33763,29191,31749,33458,26238,27497,18870,37270,22275,20296,15411,15861,19978,22311,20300,16904,17939,18058,15380,15555,22257,14129,45243,14471,36319,54709,66298,58729,60719
