name,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07
joe biden,33188,17129,12919,2876,1957,4547,7825,3737,11872,2379,7951,11490,24880,1242,738,1603,5468,1173,790,2841,23009,7492,857,3700,33012,2011,4808,7848,16739,2145,6336,5709,13797,73676,7395,5444,37033,29567,8776,10390,1847,2838,1338,5624,2550,5362,3781,2897,33340,9896,2466,14430,2530,5370,2780,1418,6218,3070,8188,2979,30595,5240,1636,957,2040,3139,5746,22441,26961,30313,987,3922,17486,4143,5724,1283,1475,7103,10244,5066,3468,12051,1505,7363,11946,521,689,392,1085,901,150,138,189,1471,2794,7378,1624,9868,1986,1207,594,447,1309,3292,2263,3662,2083,3125,5200,7098,20328,64292,26237,69660,53727,53440,42679,47509,54477,34500,31882,90531,111240,31914,65360,38696,66369
joe scarborough,21986,21830,22620,24017,13643,12922,11145,27318,18335,22537,22707,23651,25148,24199,15323,20096,19133,25505,14368,16624,27576,30955,22767,24712,30200,23543,27979,30520,31166,18267,17510,29037,24990,28590,24068,26515,34276,30339,20886,29123,24800,27922,19917,29105,22138,31379,27211,24444,32843,23102,22490,26365,24979,29811,13472,37058,39149,40582,29125,27830,19150,31966,27219,30188,29393,34237,30067,33482,30557,44180,30301,35989,39919,42209,29009,31950,33706,31236,29966,36528,30890,37632,33728,23846,26146,31660,37471,32544,37742,35812,26169,35723,26192,37896,29497,36495,54675,51127,44921,41745,41516,36609,32606,44874,36859,51753,30814,39784,37549,48356,44184,45257,45039,33273,39491,40946,37528,33987,26529,39237,45155,31205,30549,54503,48546,45022,30035
john berman,3,3,9,9,9,6,3,6,33,21,9,30,6,0,18,6,6,6,0,6,12,0,9,3,0,0,0,3,0,27,7603,17185,14338,13316,13003,10535,19300,11534,6237,29417,19827,15015,7906,10995,10485,13881,19917,12754,11163,21319,22021,20147,15313,17416,19730,13701,15864,18304,11453,18985,29225,20749,18052,14140,12898,15716,17235,15379,24896,26361,25691,24732,31553,33912,23709,26297,24804,20170,22100,36565,18398,23700,30937,25665,25895,19202,27889,17902,17089,29366,41967,28360,13814,24096,32122,37557,34727,48960,41037,27781,43914,48907,44391,64485,32788,32350,44499,47984,39217,32017,36323,22525,35210,55840,24925,53518,24922,43683,47933,34554,37291,31938,48213,47711,37620,30886,54046
john king,12583,2675,4545,12238,10546,10534,12232,14237,18511,19780,18046,16714,24279,20348,13550,15958,23671,14748,26864,28013,24432,26860,23897,17517,30872,19455,22286,10914,15206,24655,3009,17110,10122,17373,10815,3981,6613,2706,3346,6327,3321,13537,5566,10216,14701,12478,11856,7594,11449,4488,4775,5429,5837,7538,4866,2688,6380,4439,8558,2671,4109,4666,4749,5885,2961,5887,5954,6267,4363,5129,2580,5642,10310,10400,12756,9980,8087,4250,13920,6040,10496,18905,12731,2559,16251,12275,15106,14462,13793,16443,13885,10165,14630,15659,10532,10433,14225,11363,14196,16688,14864,15747,10898,11550,12822,13558,21561,12598,14244,12151,11544,15241,14598,13941,13239,7773,15822,15761,14675,10587,14875,21801,37339,48400,46192,38854,31083
john mccain,12060,13734,14727,10924,3923,5560,4753,10029,6126,1893,7254,8030,4682,5597,8123,6165,6579,6751,10164,6293,3747,9438,4736,7187,11828,7432,14584,5883,7505,10783,11204,14300,14657,15998,31701,9230,16184,16593,6830,7927,9685,11402,5001,13263,23561,9244,3142,3691,7851,9184,9907,4073,7969,17704,9789,7919,12015,5161,5649,9366,4666,7203,6014,6557,4668,1136,10086,433,7162,6406,3898,3719,5411,3245,2790,487,4688,4386,1397,7579,1810,4639,1385,10200,17543,7817,10972,14166,7864,6039,23640,4339,9405,9524,4033,3520,555,1542,738,805,11155,946,1228,101701,6902,494,252,650,188,167,4067,110,803,500,796,668,94,101,433,217,426,933,368,33,108,16,63
jon scott,12249,10983,10185,11447,6397,6184,15060,9646,10187,13717,12701,9569,12907,7955,10072,8683,8365,10888,11014,6476,10056,8584,12330,13312,10156,11244,12280,8240,12653,9995,15771,12384,12329,11574,10270,10799,11997,11802,11424,9855,12136,9749,7174,8852,8806,10714,9899,10290,10374,9755,10703,8943,13613,7817,11493,9575,12969,7958,11435,10724,10215,8319,9338,9711,9603,8562,7034,7029,5609,8456,9211,8114,9724,8560,9087,9163,10715,8477,9200,6481,5967,9966,8813,9712,5639,7188,5221,9795,9136,9345,6096,10110,8147,6449,5313,7942,7905,6256,6296,4433,6175,3957,4250,6284,6784,7510,4734,4757,3031,4412,7518,3658,6476,5263,5251,12387,3990,4421,3895,5043,5309,3310,4498,3887,3887,6803,9196
joy-ann reid,0,3,0,0,0,0,0,876,585,2712,1497,456,387,408,132,423,366,285,957,990,1254,1107,1464,2133,3861,2301,4506,4431,3191,5129,5576,5121,12251,11622,15768,16207,14607,11852,17316,7498,10491,15221,21455,13816,7473,9618,9724,13445,9407,15278,12553,21819,12884,13163,12121,12723,9966,10154,8082,7856,6840,9206,4522,9493,5077,4702,7179,4855,4655,4354,3179,9101,5438,11048,13796,11966,12041,13594,26458,18177,20131,17391,16469,18414,21262,11676,17106,22771,18667,18708,18145,23882,15010,11958,15658,20925,34196,17799,16020,17300,20290,11611,16775,4204,15163,16373,22073,14765,27260,22817,21128,19928,21250,19335,30200,18968,26070,10053,18356,19359,17735,31306,24119,16560,27604,27739,32155
juan williams,9391,7582,9343,16527,5786,5777,16239,14643,9160,24198,14812,11268,12424,8659,12211,14047,10554,15306,9660,13243,8579,18653,15141,8074,14872,11444,9464,13056,10215,13305,13234,19865,8503,11630,9108,17207,10400,11361,8813,5755,9884,10730,13376,10381,9285,10422,11648,13235,8136,9005,7395,7658,9219,8166,9283,9066,9074,7675,13506,11073,8172,9400,11884,10323,14121,9828,11630,8125,7414,9980,10598,10555,9883,12046,13666,11963,13079,11517,10868,10813,12377,11984,11012,12802,12257,8775,12149,9263,15473,23055,26769,20649,24298,9478,11589,12280,15537,8717,13394,10816,10699,10791,12562,10841,7883,11847,10227,10401,10772,10707,10345,8892,11661,9470,11879,8232,10223,11994,12376,11147,11710,12892,18605,17675,20187,27068,25249
karl rove,16354,8668,19596,11881,9110,3154,15245,16656,15960,22681,13788,9943,10103,7872,8786,12138,11240,9000,9373,13433,10071,14232,10452,10366,13967,15797,9359,10971,9884,13924,7698,15273,12711,13753,11293,2283,6413,15087,11483,6213,12439,10897,11709,10119,13492,10632,8963,8700,11850,6884,9510,7963,14701,3897,10334,6512,6278,8446,9989,7161,7574,7783,6015,7135,6789,4424,7296,5547,6580,4958,5309,4118,5021,9050,5938,6269,5706,4563,5839,8859,4416,11145,8728,7494,6732,5758,7417,4230,8318,3442,2725,4308,5453,4065,3752,4284,4830,7084,6777,6385,6236,3924,3930,4821,3334,7498,6995,4014,5495,3715,6274,7247,7170,5671,6946,6856,6279,7052,4563,8224,5379,7046,8093,6542,8328,8197,7696
kate bolduan,894,1512,3055,1708,3151,2593,5742,5357,1895,4389,4219,4393,2343,2683,3883,1686,836,5409,14573,4991,4614,1704,3183,12397,3603,4975,8200,4786,4408,11197,6979,6968,3094,3824,4270,6405,6476,3860,2098,142,765,7435,21416,13141,10469,11364,9540,10636,11406,10279,6638,8223,8922,9969,12053,9132,7847,402,82,109,1307,4310,5378,4383,4802,4589,14061,12082,4677,7315,4613,12231,10029,9331,10916,8976,8478,11076,3826,9463,4369,6993,4299,16343,5523,16347,23088,22792,16767,22903,23705,18652,16512,21159,16104,15398,102,51,54,20272,27074,23122,19779,15386,36112,37134,29565,19051,21890,24747,18049,21196,25264,17828,23513,28803,17464,22654,15476,22546,10518,10535,10543,15744,19086,16735,36561
